imdb_name_id,name,birth_name,height,bio,date_of_birth,place_of_birth,date_of_death,place_of_death,divorces,children
nm0000296,Robert Beltran,Robert Adame Beltran,179,Robert Adame Beltran was born in Bakersfield  California. He is the seventh of ten children  of Mexican-Native American ancestry  though Robert describes his heritage as Latindio. After finishing high school  he attended Fresno State College  where he graduated with a degree in theater arts. Beltran landed his first film role in Luis Valdez's Zoot Suit (1981) in 1981. One year later  he landed the role of Raoul in Paul Bartel's Eating Raoul (1982). Other appearances included Gaby  una storia vera (1987)  Gli intrighi del potere - Nixon (1995) and another Paul Bartel film  Scene di lotta di classe a Beverly Hills (1989) among others. In the theater  he has appeared in productions for Luis Valdez's El Teatro Campesino  the LA Theater Center  the California Shakespeare Festival and others. Robert founded and serves as co-artistic director of the East LA Classic Theater Group  with a staff of professional actors. There  he played Hamlet and served as co-producer as well as director. Robert appeared in A Midsummer Night's Dream; King Henry IV; A Touch of the Poet; and The Price  among others. In 1995  he got the part of Commander Chakotay on Star Trek: Voyager (1995). At that time  he received a Nosotros Golden Eagle Award as best actor in a television series. Robert supports National Down Syndrome Society and lives in Los Angeles  California.In his political activity  Robert Beltran has engaged over recent years in a series of classical drama workshops mainly on Shakespeare with the LaRouche Youth Movement of the Democratic Party as well as participating in several Schiller Institute conferences speaking on the subject of classical drama  most recently on his 2003 staging of Clifford Odets' 1948 play "The Big Knife".,1953-11-19,Bakersfield  California  USA,,,0,0
nm0000299,Michael Biehn,Michael Connell Biehn,182,Michael Connell Biehn was born on July 31  1956 in Anniston  Alabama  to Marcia (Connell) and Don Biehn  a lawyer. He grew up in Lincoln  Nebraska  and at age 14 moved with his family to Lake Havasu  Arizona  where he won a drama scholarship to the University of Arizona. He left prematurely two years later to pursue an acting career in Hollywood. His first big role was as a psychotic fan stalking Lauren Bacall in Un'ombra nel buio (1981) and later appeared in Cavalli di razza (1983). He hit the big-time when he was cast as Kyle Reese  the man sent back through time to stop Arnold Schwarzenegger in James Cameron's Terminator (1984). This established a good working relationship with Cameron  a relationship that should have catapulted Biehn to international stardom. He starred in Cameron's subsequent films  Aliens - Scontro finale (1986) and The Abyss (1989)  the latter a standout performance as unstable Navy SEAL officer Lt. Hiram Coffey. In the 1990s he starred in films like Navy Seals - Pagati per morire (1990)  K2 - L'ultima sfida (1991) and was particularly memorable as Johnny Ringo in Tombstone (1993). Biehn is married and the father of four sons.,1956-07-31,Anniston  Alabama  USA,,,2,5
nm0000300,Juliette Binoche,Juliette Binoche,168,Juliette Binoche was born in Paris  France  to Monique Yvette Stalens  a director  teacher  and actress  and Jean-Marie Binoche  a sculptor  director  and actor. Her mother was born in Czestochowa  Poland  of French  Walloon Belgian  and Polish descent  while her father is French. Juliette was only 23 when she first attracted the attention of international film critics with L'insostenibile leggerezza dell'essere (1988). Roger Ebert  Chicago Sun-Times film critic with an international following of his books on film and TV reviews  wrote that she was "almost ethereal in her beauty and innocence". That innocence was gone by the time Binoche completed Louis Malle's Il danno (1992) (aka "Fatale"). In an interview after the film was released  Binoche said: "Malle was trying direct and wanted something more sophisticated". A year later  Krzysztof Kieslowski's Tre colori - Film blu (1993) was added to her film credits. After a sabbatical from film-making to become a mother in 1994  Binoche was selected as the heroine of France's most expensive ($35 million) movie ever: L'ussaro sul tetto (1995). More recently  she has made Il paziente inglese (1996)  for which she won an Oscar for 'Best supporting actress' and Chocolat (2000).,1964-03-09,Paris  France,,,0,0
nm0000301,Thora Birch,Thora Birch,163,For some people  oatmeal starts the day off right - for Thora Birch  it launched a healthy career in front of the camera. It's hard to believe that the actress  who slunk into stardom with her turn as the disillusioned daughter in American Beauty (1999)  is even related to the apple-cheeked blonde who once gazed up at Quaker Oats (R) spokesman Wilford Brimley and said  "Mmm-hmm. Yeah  grandpa"  but Birch still remembers the professional advice Brimley whispered in her ear: maintain eye contact and *really* listen. Since then  she's had ample opportunity to study some of Hollywood's top talents at work - in addition to her American Beauty (1999) scenes with Kevin Spacey and Annette Bening  she's acted alongside Harrison Ford  Harvey Keitel and Jeremy Irons. Named after Thor  the Norse god of thunder  Thora was born in Los Angeles to Jack Birch and Carol Connors Birch (they kept up the tempestuous theme by naming her younger brother Bolt Birch). By age 4  she was a regular at commercial auditions and  by age 6  she'd landed a spot on the short-lived daycare sitcom Day by Day (1988). Her film career got off to an auspicious start that same year  when she won a Young Artist Award for her debut opposite Neil Patrick Harris in the children's fantasy flick Amico venuto dallo spazio (1988). After a short break  she picked up a role in another fleeting sitcom  Fra nonni e nipoti (1990) (based on the movie of the same name). By age 9  Birch had her life pretty much figured out - she told the L.A. Times that she planned to become a director by 24  then spend a year ice skating  then spend a year as a policewoman  and  finally  become a singer. She picked up her last name (early appearances credited her as just "Thora") and returned to the big screen as Elijah Wood's tomboy friend in La strada per il paradiso (1991). She then scored a high-profile supporting role as Harrison Ford's daughter in Giochi di potere (1992)  which she reprised in Sotto il segno del pericolo (1994). In between  she kept busy with family films Hocus Pocus (1993) and Il mio amico zampalesta (1994). In 1995  Birch graduated into adolescent territory with her turn as a younger Melanie Griffith in Amiche per sempre (1995). She followed that up with a top-billed role in the snowy adventure Alaska (1996)  then took a three-year hiatus from acting. She resurfaced in 1999  first in the made-for-TV Un nuovo inizio (1999) and then  more visibly  in American Beauty (1999). Birch had heard about "Beauty" through the industry grapevine  and she immediately set her sights on the part of "Jane Burnham". As it turned out  she was the first to audition for director Sam Mendes; while he saw dozens of other actresses for the role  none delivered a more convincing "Jane". Still reeling from her sudden celebrity status  Birch plucked a handful of diverse projects from the deluge of post-"Beauty" scripts. Seeking an even edgier adolescent role  she appeared as a punk-rocker in the indie film The Smokers (2000)  then dropped the tough-girl pose to play the gentle "Empress Savina" in the live-action adaptation of Dungeons & Dragons (2000). She also signed up to play a teen hipster caught up in a post-high school identity crisis in Ghost World (2001) (based on the graphic novel)  and an English schoolgirl in the thriller The Hole (2001). Style-conscious and sophisticated beyond her years  Birch lives on her family's East L.A. ranch (where she recently finished high school through a computer-based correspondence course). She still hopes to try her hand at directing someday  but  for now  she's content to continue blossoming in front of the camera.,1982-03-11,Los Angeles  California  USA,,,0,0
nm0000304,Linda Blair,Linda Denise Blair,157,From the age of five  Linda Blair had to get used to the spotlight  first as a child model and then as an actress  when out of 600 applicants she was picked for the role of Regan  the possessed child  in L'esorcista (1973). Linda quickly rose to international fame  won the Golden Globe  and seemed to be set to take the Academy Award for that role  but when it leaked how some parts of the role were not performed by her (the demonic voice was dubbed by Mercedes McCambridge  and eight seconds of a stunt dummy were used) that dream broke  and with that disappointment probably came the first blow to what looked like the beginning of an A-list career.Over the next few years she had no trouble securing lead roles in a number of pictures  including the highly successful television films La ragazza del riformatorio (1974) (the #1 TV movie of that year) and Sarah T. - Portrait of a Teenage Alcoholic (1975)  as well as the Exorcist sequel L'esorcista II - L'eretico (1977). However  when she was peer pressured into buying cocaine at the age of 18  it led to an arrest and subsequent sentencing to three years probation. The much-publicized drug bust caused Linda to be blacklisted in Hollywood  and her career was soon reduced to B-movies and occasional TV guest appearances only.Although her career never returned to its former glory  Linda proved to be a good sport about embracing the change  and out of the '80s emerged lead roles in two cult classics: the women-in-prison film Chained Heat (1983) and the femme fatale vigilante action film Savage Streets (1984). She continued acting in numerous films throughout the '80s and '90s  including the Exorcist spoof Riposseduta (1990). In 1997  she also took to the Broadway stage and starred as "Rizzo" in the revival of "Grease." She received widespread mainstream attention again in the 2000's with the theatrical re-release of the Exorcist  followed by a hosting job on the hit Fox Family TV series Scariest Places on Earth (2000)  which ran for six years and followed Linda as she visited notorious "haunted" locations around the world.Linda was born in St. Louis  Missouri  to Elinore  a real estate agent  and James  an executive headhunter. She has a brother  Jimmy  and a sister  Debbie. Linda has been a Hollywood icon for over 40 years  but it is her first love of animals that has ultimately taken center stage in her life. She now runs the Linda Blair WorldHeart Foundation  a non-profit 501C3 tax deductible organization dedicated to rescuing and rehabilitating abused  neglected  and abandoned animals from the harsh streets of the Los Angeles area  as well as from the overcrowded and overwhelmed city and county animal shelters. She works and lives on the 2-acre rescue sanctuary full-time in California  which was featured on The Today Show in a segment titled "From Devil to Angel." Of course  she also makes frequent appearances at horror fan conventions to celebrate the legacy of L'esorcista (1973) .,1959-01-22,St. Louis  Missouri  USA,,,0,0
nm0000306,Brian Blessed,Brian Blessed,177,Boisterous British actor Brian Blessed is known for his hearty  king-sized portrayals on film and television. A giant of a man accompanied by an eloquent wit and booming  operatic voice  Brian was born in 1936 and grew up in the mining village of Goldthorpe in South Yorkshire. His father was a miner who wanted a better life for his son; Brian lost three uncles in the pit. At a young age  he displayed an acute talent for acting in school productions  but also had a penchant for boxing  a direction that would be short-lived.Working various blue-collar jobs from undertaker's assistant to plasterer  Brian managed to attend the Bristol Old Vic and was off and running. He has lent his musical talents to several productions - from playing "Old Deuteronomy" in "Cats" to "The Baron" in the more recent "Chitty Chitty Bang Bang". In the 1970s  he began appearing more and more on-camera with both classical and contemporary performances. In costumed television movies  he has played "Porthos" in The Three Musketeers (1966) and The Further Adventures of the Musketeers (1967)  "Augustus" in Claudius (1976)  and "Long John Silver" in John Silver's Return to Treasure Island (1986) and has been a part of various reenactments including Caterina di Russia (1995)  Lady Chatterley (1993)  Il mastino di Baskerville (1983) and Avventure nei mari del nord (1995).On film  he has appeared in robust support in several William Shakespeare adaptations  including Enrico V (1989)  Molto rumore per nulla (1993)  Hamlet (1996)  Macbeth (1997) and the title role in King Lear (1999)  which he also directed.More recently  he appeared in Oliver Stone's epic-scale Alexander (2004) and in Kenneth Branagh's film version of William Shakespeare's Come vi piace (2006).In recent years  the octogenarian has been heard more than seen with voice work in video games  documentaries and such animated TV programs as Kika & Bob (2007) (as Bob); Lo straordinario mondo di Gumball (2011) (as Santa Claus); Wizards vs. Aliens (2012) (as the Necross King); Henry Hugglemonster (2013) (as Eduardo Enormomonster); and Peppa Pig (2004) as Grampy Rabbit.He is married to British actress Hildegard Neil  who made an appearance with him in Macbeth (1997).,1936-10-09,Mexborough  Yorkshire  England  UK,,,1,2
nm0000312,Amy Brenneman,Amy Frederica Brenneman,168,Amy Frederica Brenneman was born in New London  Connecticut  to Frederica (Shoenfield)  a judge in the Connecticut State Superior Court  and Russell Langdon Brenneman  Jr.  an environmental lawyer. Amy's mother was one of the first women to graduate from Harvard. Amy is also a graduate of Harvard  where she majored in comparative religion. She spent one semester studying sacred dances in Nepal. While in college  she formed the Cornerstone Theater Company  a touring production company that takes classics to small towns and encourages locals to participate in them. After touring for five years  she moved to New York  where she became a teacher in Brooklyn. She landed her first TV role in 1992.,1964-06-22,New London  Connecticut  USA,,,0,2
nm0000316,Mel Brooks,Melvin James Kaminsky,165,Mel Brooks was born Melvin Kaminsky on June 28  1926 in Brooklyn  New York. He served in WWII  and afterwards got a job playing the drums at nightclubs in the Catskills. Brooks eventually started a comedy act and also worked in radio and as Master Entertainer at Grossinger's Resort before going to television.He was a writer for  Your Show of Shows (1950) Caesar's Hour (1954) and wrote the Broadway show Shinbone Alley. He also worked in the creation of The 2000 Year Old Man (1975) and Get Smart - Un detective tutto da ridere (1965) before embarking on a highly successful film career in writing  acting  producing and directing.Brooks is famous for the spoofs of different film genres that he made such as Mezzogiorno e mezzo di fuoco (1974)  La pazza storia del mondo (1981)  L'ultima follia di Mel Brooks (1976)  Frankenstein Junior (1974)  Robin Hood - Un uomo in calzamaglia (1993)  Alta tensione (1977)  Dracula morto e contento (1995)  and Balle spaziali (1987).,1926-06-28,Brooklyn  New York City  New York  USA,,,1,4
nm0000318,Tim Burton,Timothy Walter Burton,180,Timothy Walter Burton was born in Burbank  California  to Jean Rae (Erickson)  who owned a cat-themed gift shop  and William Reed Burton  who worked for the Burbank Park and Recreation Department. He spent most of his childhood as a recluse  drawing cartoons  and watching old movies (he was especially fond of films with Vincent Price). When he was in the ninth grade  his artistic talent was recognized by a local garbage company  when he won a prize for an anti-litter poster he designed. The company placed this poster on all of their garbage trucks for a year. After graduating from high school  he attended California Institute of the Arts. Like so many others who graduated from that school  Burton's first job was as an animator for Disney.His early film career was fueled by almost unbelievable good luck  but it's his talent and originality that have kept him at the top of the Hollywood tree. He worked on such films as Red e Toby nemiciamici (1981) and Taron e la pentola magica (1985)  but had some creative differences with his colleagues. Nevertheless  Disney recognized his talent  and gave him the green light to make Vincent (1982)  an animated short about a boy who wanted to be just like Vincent Price. Narrated by Price himself  the short was a critical success and won several awards. Burton made a few other short films  including his first live-action film  Frankenweenie (1984). A half-hour long twist on the tale of Frankenstein  it was deemed inappropriate for children and wasn't released. But actor Paul Reubens (aka Pee-Wee Herman) saw Frankenweenie (1984)  and believed that Burton would be the right man to direct him in his first full-length feature film  Pee-wee's Big Adventure (1985). The film was a surprise success  and Burton instantly became popular. However  many of the scripts that were offered to him after this were essentially just spin-offs of the film  and Burton wanted to do something new.For three years  he made no more films  until he was presented with the script for Beetlejuice - Spiritello porcello (1988). The script was wild and wasn't really about anything  but was filled with such artistic and quirky opportunities  Burton couldn't say no. Beetlejuice - Spiritello porcello (1988) was another big hit  and Burton's name in Hollywood was solidified. It was also his first film with actor Michael Keaton. Warner Bros. then entrusted him with Batman (1989)  a film based on the immensely popular comic book series of the same name. Starring Michael Keaton and Jack Nicholson  the film was the most financially successful film of the year and Burton's biggest box-office hit to date. Due to the fantastic success of his first three films  he was given the green light to make his next film  any kind of film he wanted. That film was Edward mani di forbice (1990)  one of his most emotional  esteemed and artistic films to date. Edward mani di forbice (1990) was also Burton's first film with actor Johnny Depp. Burton's next film was Batman - Il ritorno (1992)  and was darker and quirkier than the first one  and  while by no means a financial flop  many people felt somewhat disappointed by it. While working on Batman - Il ritorno (1992)  he also produced the popular Nightmare Before Christmas (1993)  directed by former fellow Disney Animator Henry Selick. Burton reunited with Johnny Depp on the film Ed Wood (1994)  a film showered with critical acclaim  Martin Landau won an academy award for his performance in it  and it is very popular now  but flopped during its initial release. Burton's subsequent film  Mars Attacks! (1996)  had much more vibrant colors than his other films. Despite being directed by Burton and featuring all-star actors including Jack Nicholson  Glenn Close  Pierce Brosnan and Michael J. Fox  it received mediocre reviews and wasn't immensely popular at the box office  either.Burton returned to his darker and more artistic form with the film Il mistero di Sleepy Hollow (1999)  starring Johnny Depp  Christina Ricci and Casper Van Dien. The film was praised for its art direction and was financially successful  redeeming Burton of the disappointment many had felt by Mars Attacks! (1996). His next film was Planet of the Apes - Il pianeta delle scimmie (2001)  a remake of the classic of the same name. The film was panned by many critics but was still financially successful. While on the set of Planet of the Apes - Il pianeta delle scimmie (2001)  Burton met Helena Bonham Carter  with whom he has two children. Burton directed the film Big Fish - Le storie di una vita incredibile (2003) - a much more conventional film than most of his others  it received a good deal of critical praise  although it disappointed some of his long-time fans who preferred the quirkiness of his other  earlier films. Despite the fluctuations in his career  Burton proved himself to be one of the most popular directors of the late 20th century. He directed Johnny Depp once again in La fabbrica di cioccolato (2005)  a film as quirky anything he's ever done.,1958-08-25,Burbank  California  USA,,,1,0
nm0000319,Yancy Butler,Yancy Victoria Butler,170,Yancy Butler was born and grew up in Greenwich Village  New York City during the 1970s  so it's not unusual that she chose to be an actor  being third generation showbiz. Her father is Joe Butler  the lead singer and drummer for the reunited Lovin' Spoonful; her mother  Leslie   was a company manager for Broadway shows  and her grandparents were also involved in various aspects of the theater. At the age of 13  Butler began studying at the prestigious HB Studios in New York  and continued to do so until entering Sarah Lawrence College. Ms Butler made her motion picture starring debut in John Woo's "Hard Target" with Jean-Claude Van Damme. Yancy's television debut in "Law & Order" landed her the series lead in "Mann and Machine"  which led to the starring role in "South Beach.",1970-07-02,New York City  New York  USA,,,0,0
nm0000324,Barbara Carrera,Barbara Kingsbury,173,Barbara Carrera was born Barbara Kingsbury on December 31  1945 in Bluefields  Nicaragua. This stunning former model became best known for her screen performances playing a sinister femme fatale. In doing so  she has achieved minor cult status and has quite a loyal fanbase. The tall and tanned Carrera first cropped up in minor roles taking advantage of her exotic features in Il giorno del grande massacro (1975)  Embryo (1976) and L'isola del dottor Moreau (1977). She broke through with mainstream North American audiences playing Clay Basket in the miniseries Colorado (1978)  and Lucia Flavius Silva's mistress in the miniseries Masada (1981).She sizzled on screen with Armand Assante as the sexy yet evil doctor in Io  la giuria (1982)  was the love interest of Texas Ranger Chuck Norris in Una magnum per McQuade (1983)  and gave her best role to date as assassin Fatima Blush opposite Sean Connery in Mai dire mai (1983)  and then as Emma Forsayth in the miniseries Emma: la regina dei Mari del Sud (1988). In 1985-86  she played the role of business executive Angelica Nero on the primetime soap opera Dallas (1978). Carrera has most recently been seen guest starring on the popular television series That '70s Show (1998) and Giudice Amy (1999).,1945-12-31,Bluefields  Nicaragua,,,3,0
nm0000325,David Caruso,David Stephen Caruso,183,His low-keyed intensity  deep-voiced somberness  pale skin  puffy-eyed baby face and crop of carrot-red hair are all obvious and intriguing trademarks of TV star David Caruso. A hugely popular item in the 1990s as a result of a smash crime series  he got way too caught up in all the hoopla surrounding him. Those working with him on the innovative cop series were not exactly unhappy when he decided to abandon ship after only one season in order to pursue movie star fame. Despite his own predictions  the show prospered quite well after the loss of his focal character...but it would be a major understatement to state that Caruso did not fare as well.TV to film crossover fame is tricky and David did not have the right formula to pull it off. Bad judgment calls  bad publicity after his departure from his TV series  a couple of poor film vehicles  and virtual unemployment in its wake eventually led him back to the small screen again a somewhat humbler person. Not many are given a second chance but Caruso  the enigmatic talent that he is  found gold a second time as (again) a wan  brooding lead in a hip  unconventional cop series.David Stephen Caruso was born in Forest Hills  Queens  New York  the son of Charles Caruso  a magazine and newspaper editor  and Joan  a librarian. The Irish Catholic youngster attended elementary and middle school at Our Lady Queen of Martyrs and then Archbishop Molloy High School  both in Queens.Following high school graduation in 1974  he toyed with some commercial work. A few years later he began to make a slight dent in films. He first appeared in I ragazzi dell'accademia militare (1980) and Horror - Caccia ai terrestri (1980)  which led to a succession of secondary roles in such 80s movies as Ufficiale e gentiluomo (1982)  Rambo (1982) (as a sheriff's deputy)  Ladro di donne (1984)  Blue City (1986)  China Girl (1987) and I gemelli (1988). But the break into full-fledged TV stardom proved elusive. It was argued that the thin and lanky actor was not handsome enough to become a leading man in film and didn't have the charisma credentials to carry a big movie.Making his unbilled debut in a daytime episode of "Ryan's Hope"  TV proved to be a more inviting medium and police stories seemed to be the name of the game for him. He had a strong recurring role as a gang leader on Hill Street giorno e notte (1981) and showed to good advantage in the series Crime Story (1986). This sudden notoriety on police TV gave way to some even stronger stuff in streetwise film crimers such as King of New York (1990) as a cop gone bad  and Lo sbirro  il boss e la bionda (1993)  in which he earned excellent marks as a cynical urban cop. But his star-making role came via TV and his portrayal of Detective John Kelly the critically-acclaimed series New York Police Department (1993). Audience adoration was immediate.His volatile but principled character on the gritty  boldly-written  unconventional show earned him impressive and sexy notices with a Golden Globe Award and Emmy nomination placed in his hands. Confident now that he could be a magnetic force in front of a movie camera  stories began to circulate that the instant fame had gone to his head  that he was moody  demanding and difficult on the set  and that he was quickly alienating not only his co-stars but the show's directors and writers.Ready to prove all those naysayers wrong about his chances in film  Caruso made tabloid headlines when he announced his decision to leave the highly-rated show after only one season (and only four episodes into the second season) to pursue film stardom. Rumors also bounced around that he left following unresolved salary negotiations. For whatever reason  he wasted no time in scouting out movie vehicles for himself. Again  he focused on his specialty -- crime thrillers. The first  Il bacio della morte (1995)  in which he played a petty thief trying to go straight  did not go over well box-office-wise despite its good reviews  and the second  Jade (1995)  in which he portrayed a homicide detective  was a grisly  unappetizing thriller that was given the thumbs down almost immediately. As a comeuppance for coming up short  he was nominated for the dubious "Razzie" award as the "Worst New Star" of those two films. With no movie releases at all in 1996  by the time Cold Around the Heart (1997) was released  in which he played a jewel thief who is betrayed by his sexy partner-in-crime (Kelly Lynch)  the TV star had lost all of his movie star momentum.In 1997  Caruso made an inauspicious return to the small screen as the placid title prosecutor Michael Hayes indaga (1997)  a law series  but it was a very short-lived experience. Audiences had become fickle and indifferent to his "heralded comeback". Finding a serious lack of offers  he returned to supporting others in films such as Russell Crowe in Rapimento e riscatto (2000)  and copped a couple of leads for himself in such low-budgeted films as Session 9 (2001) and the Canadian film Black Point (2002).But in 2002  he found TV magic once again behind a badge as Lt. Horatio Caine in the popular CSI spin-off series CSI: Miami (2002). Strongly anchoring the show  which focuses more on crime methodology and whodunnit twists than character development  Caruso has nevertheless earned cult fame for his slick demeanor and deliberately slow speech patterns  reminding one of William Shatner's heady  methodical approach to Captain Kirk. Known for his deep  dry tones and parade of droll one-liners  many of which include him slipping on his dark shades during mid-sentence  he has been the subject of many a late-nite parody and satire.A difficult interviewee who has admitted to keeping his monumental ego in check since his return to TV  he has been little seen since the "Miami" series ended in 2012 after ten season. David has been married and divorced three times  which includes a brief 1980s union to actress Rachel Ticotin. He has a daughter  Greta  from that union. On the sly  Caruso was a co-owner of now long-defunct Steam  a clothing and furniture store in Miami  Florida. He and his current girlfriend (since 2005)  Liza Marquez  have two children -- son Marquez Anthony and and daughter  Paloma Raquel.,1956-01-07,Forest Hills  New York  USA,,,3,1
nm0000326,Kim Cattrall,Kim Victoria Cattrall,169,Kim Victoria Cattrall was born on August 21  1956 in Mossley Hill  Liverpool  England to Gladys Shane (Baugh)  a secretary  and Dennis Cattrall  a construction engineer. At the age of three months  her family immigrated to Canada  where a large number of her films have been made. At age 11  she returned to her native country and studied at the London Academy of Music and Dramatic Art. She returned to Vancouver and  at age 16  graduated from high school and won a scholarship to study at the American Academy of Dramatic Arts in New York City. During her final year at the Academy  she won a role in Otto Preminger's action thriller Operazione Rosebud (1975). Following her film debut  Kim returned to the theatre  first in Vancouver and then in repertory in Toronto prior to winning a contract at Universal Pictures in Los Angeles  California.Kim continued to work steadily through the late 1970s  1980s and 1990s  including roles in 1980s cult classics such as Scuola di polizia (1984)  Grosso guaio a Chinatown (1986) and Mannequin (1987)  and as Mr. Spock's protegee Lieutenant Valeris in Rotta verso l'ignoto (1991). However  it was her portrayal of sexually liberated public relations executive Samantha Jones on the HBO sitcom Sex and the City (1998) and its two feature film follow-ups that brought her worldwide attention  and gained her five Emmy Award nominations and four Golden Globe Award nominations including winning the 2002 Golden Globe for Best Supporting Actress.,1956-08-21,Liverpool  England  UK,,,2,0
nm0000327,Lacey Chabert,Lacey Nicole Chabert,157,Lacey Nicole Chabert was born in Purvis  Mississippi  to Julie (Johnson) and Tony Chabert  a representative for an oil company. She is of Cajun (French)  Italian  English  and Scottish ancestry. Chabert started in drama and music performances in and around her hometown in Mississippi from an early age  and was a finalist on Star Search (1983) in 1991. She gained her break in a cough syrup commercial  before successfully auditioning for the Broadway production of Les Miserables  where she played young Cosette for two years. Since then  she has been on a few television series  notably Cinque in famiglia (1994)  a number of telemovies like Gypsy (1993)  and her big-screen debut  Lost in Space (1998). Known for her natural acting skills and charming personality  her cotton candy voice has seen her record many advertising jingles  plus play parts in animated films and TV shows like Nickelodeon's La famiglia della giungla (1998). A more than capable violinist  she enjoys various activities  especially shoe shopping  and she is particularly fond of Cajun cooking. As a result of her promising career  her family  including two sisters and a brother  have moved from Mississippi to California.,1982-09-30,Purvis  Mississippi  USA,,,0,1
nm0000331,Chevy Chase,Cornelius Crane Chase,192,Chevy Chase was born Cornelius Crane Chase in Lower Manhattan  New York  to Cathalene Parker (Browning)  a concert pianist and librettist  and Edward Tinsley "Ned" Chase  an editor and writer. His parents both came from prominent families  and his grandfathers were artist and illustrator Edward Leigh Chase and admiral Miles Browning. His recent ancestry includes English  Scottish  Irish  and Danish.His grandmother gave him the nickname "Chevy" when he was two years old. Chase was a part of the Il Saturday Night Live (1975) cast from its debut until 1976  and then embarked on a highly successful movie career. He scored in the eighties with hits such as Palla da golf (1980)  National Lampoon's Vacation (1983) and its sequels  Fletch - Un colpo da prima pagina (1985) and Fletch - Cronista d'assalto (1989). All his films show his talent for deadpan comedy. Sadly  his career generally worsened throughout the nineties  starring in disappointments such as the mediocre Avventure di un uomo invisibile (1992)  and Poliziotti a domicilio (1994). More recently  Community (2009) marked a return for him  as he played a regular role for the first four seasons.,1943-10-08,New York City  New York  USA,,,2,3
nm0000334,Yun-Fat Chow,Chow Yun Fat,186,Chow Yun Fat is a charismatic  athletically built and energetic Asian-born film star who first came to the attention of western audiences via his roles in the high-octane/blazing guns action films of maverick HK director John Woo.Chow was born in 1955 on the quiet island of Lamma  part of the then-British colony of Hong Kong  near its famous Victoria Harbour. His mother was a vegetable farmer and cleaning lady  and his father worked on a Shell Oil Company tanker. Chow's family moved to urban Hong Kong in 1965 and in early 1973  Chow attended a casting call for TVB  a division of Shaw Bros. productions. With his good looks and easy-going style  Chow was originally a heartthrob actor in non-demanding TV and film roles. However  his popularity increased with his appearance as white-suited gangster Hui Man-Keung in the highly popular drama TV series Shang Hai tan (1980).In 1985  Chow started receiving acclaim for his work and scored the Golden Horse (Best Actor) Award in Taiwan and another Best Actor Award from the Asian Pacific Film Festival for his performance in Dang doi lai ming (1984). With these accolades  Chow came to the attention of Woo  who cast Chow in the fast-paced gangster film A Better Tomorrow (1986) (aka "A Better Tomorrow"). The rest  as they say  is history. The film was an enormous commercial success  and Chow's influence on young Asian males was not dissimilar to the adulation given to previous Asian film sensations such as Bruce Lee or Jackie Chan. Nearly every young guy in Hong Kong ran out and bought himself a "Mark Coat " as they became known--a long  heavy woolen coat worn by Chow in the movie (although it is is actually very unsuited to Hong Kong's hot and humid climate).Further hard-edged roles in more John Woo crime films escalated Chow's popularity even higher  and fans all over the world flocked to see A Better Tomorrow II (1987) (aka "A Better Tomorrow 2")  The Killer (1989) (aka "The Killer")  and Hard Boiled (1992) (aka "Hard Boiled"). With the phenomenal global interest in the HK action genre  Chow was enticed to the United States and appeared in Costretti ad uccidere (1998) with Mira Sorvino  The Corruptor - Indagine a Chinatown (1999) with Mark Wahlberg  and  for a change of pace  in the often-filmed romantic tale of Anna and the King (1999).Chow then returned to the Asian cinema circuit and starred in the critically lauded kung fu epic La tigre e il dragone (2000) (aka "Crouching Tiger  Hidden Dragon"). His wide appeal can be seen in his "boy next door" type of personality and his ability to play such a broad spectrum of roles from a comedic buffoon to a lovestruck Romeo to a trigger-happy professional killer. A highly entertaining and gifted actor with dynamic on-screen presence  Chow continues to remain in strong demand in many film markets.,1955-05-18,Lamma Island  Hong Kong,,,1,0
